City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Bela,IN,2021-11-29 21:13:35,25.9333,81.9833,61.66,53,23,4.32
228,Codrington,AU,2021-11-29 21:13:35,-38.2667,141.9667,62.83,55,0,8.46
229,Staroye Drozhzhanoye,RU,2021-11-29 21:13:36,54.7266,47.5677,37.02,96,100,19.66
230,Esmeraldas,BR,2021-11-29 21:09:47,-19.7625,-44.3139,83.26,75,95,4.36
231,Kavaratti,IN,2021-11-29 21:13:36,10.5669,72.642,80.94,81,88,13.04
232,Georgetown,MY,2021-11-29 21:11:02,5.4112,100.3354,75.13,96,40,0.0
233,Birin,NP,2021-11-29 21:13:36,26.8865,88.0718,47.79,71,24,5.37
234,Mount Gambier,AU,2021-11-29 21:13:37,-37.8333,140.7667,60.78,55,17,6.02
235,Caceres,ES,2021-11-29 21:13:37,39.522,-6.3748,46.8,87,1,4.54
236,Nabire,ID,2021-11-29 21:13:37,-3.3667,135.4833,76.39,90,100,3.8
237,Acapulco,MX,2021-11-29 21:13:33,16.8634,-99.8901,84.02,70,1,8.05
238,Tiarei,PF,2021-11-29 21:13:38,-17.5333,-149.3333,84.22,79,98,17.22
239,Batemans Bay,AU,2021-11-29 21:13:38,-35.7167,150.1833,70.2,72,7,1.3
240,Praxedis Guerrero,MX,2021-11-29 21:13:38,31.3667,-106.0167,66.42,30,78,2.1
241,Lata,PT,2021-11-29 21:13:38,40.1629,-8.3327,49.82,81,95,2.8
242,Severo-Yeniseyskiy,RU,2021-11-29 21:13:39,60.3725,93.0408,14.81,90,100,11.68
243,Agadez,NE,2021-11-29 21:13:39,19.75,10.25,72.81,18,91,10.56
244,Sitka,US,2021-11-29 21:13:39,57.0531,-135.33,37.29,65,90,18.41
245,Bethel,US,2021-11-29 21:13:39,41.3712,-73.414,39.04,70,90,1.01
246,Sibolga,ID,2021-11-29 21:13:40,1.7427,98.7792,74.95,88,98,2.24
247,Tukrah,LY,2021-11-29 21:13:40,32.5341,20.5791,63.55,50,64,22.24
248,Oda,JP,2021-11-29 21:13:40,35.1833,132.5,49.95,83,63,11.34
249,Gornopravdinsk,RU,2021-11-29 21:13:41,60.05,69.9,23.99,96,97,8.41
250,Jagodina,RS,2021-11-29 21:09:51,43.9814,21.2622,36.66,84,100,8.7
251,Grand Gaube,MU,2021-11-29 21:13:41,-20.0064,57.6608,74.37,72,1,3.0
252,Lorengau,PG,2021-11-29 21:13:41,-2.0226,147.2712,82.26,78,100,7.23
253,Kenai,US,2021-11-29 21:13:42,60.5544,-151.2583,16.14,86,90,23.02
254,San Jeronimo,PE,2021-11-29 21:13:42,-11.9472,-75.2829,60.89,57,67,5.48
255,Zhangye,CN,2021-11-29 21:13:42,38.9342,100.4517,27.57,20,0,3.4
256,Lillehammer,NO,2021-11-29 21:13:42,61.1146,10.4674,16.84,81,100,2.1
257,Bathsheba,BB,2021-11-29 21:13:43,13.2167,-59.5167,83.01,69,40,14.97
258,Turbat,PK,2021-11-29 21:13:43,26.0023,63.044,69.55,39,0,2.82
259,La Ronge,CA,2021-11-29 21:13:43,55.1001,-105.2842,27.91,72,81,14.43
260,Dalbandin,PK,2021-11-29 21:13:44,28.8947,64.4101,60.06,25,14,4.27
261,Honningsvag,NO,2021-11-29 21:13:44,70.9821,25.9704,15.55,79,20,27.63
262,Kiama,AU,2021-11-29 21:13:44,-34.6833,150.8667,66.38,85,80,1.99
263,Tura,IN,2021-11-29 21:13:44,25.5198,90.2201,59.0,77,42,4.56
264,Sylvan Lake,CA,2021-11-29 21:13:45,52.3168,-114.0853,40.35,66,0,4.07
265,Mareeba,AU,2021-11-29 21:13:45,-17.0,145.4333,77.43,86,93,2.57
266,Nurota,UZ,2021-11-29 21:13:45,40.5614,65.6886,41.09,44,100,1.92
267,Nishihara,JP,2021-11-29 21:13:46,26.1842,127.7558,70.88,78,40,9.22
268,Baherden,TM,2021-11-29 21:13:46,38.4362,57.4316,54.21,45,52,1.5
269,Waipawa,NZ,2021-11-29 21:13:46,-41.4122,175.5153,61.45,84,100,3.76
270,Nome,US,2021-11-29 21:14:46,64.5011,-165.4064,-11.13,54,1,3.44
271,Axim,GH,2021-11-29 21:14:47,4.8699,-2.2405,79.39,84,16,7.31
272,Jumla,NP,2021-11-29 21:14:47,29.2747,82.1838,40.48,21,16,5.53
273,Banda Aceh,ID,2021-11-29 21:14:47,5.5577,95.3222,75.99,89,100,2.24
274,Quimper,FR,2021-11-29 21:14:47,48.0,-4.1,46.96,93,90,2.3
275,Calama,CL,2021-11-29 21:14:48,-22.4667,-68.9333,73.89,14,0,25.32
276,Lichinga,MZ,2021-11-29 21:14:48,-13.3128,35.2406,66.25,71,33,4.97
277,Ornskoldsvik,SE,2021-11-29 21:14:48,63.2909,18.7153,7.75,92,59,4.61
278,Hithadhoo,MV,2021-11-29 21:14:49,-0.6,73.0833,81.07,80,58,14.67
279,Butaritari,KI,2021-11-29 21:14:49,3.0707,172.7902,81.25,80,42,11.61
280,Olpad,IN,2021-11-29 21:14:49,21.3333,72.75,71.37,41,100,9.37
281,Tougan,BF,2021-11-29 21:14:49,13.0667,-3.0667,79.36,12,4,9.22
282,Dunedin,NZ,2021-11-29 21:13:30,-45.8742,170.5036,61.81,57,72,6.17
283,Kodinsk,RU,2021-11-29 21:14:50,58.6881,99.1844,9.46,96,100,3.06
284,Vostok,RU,2021-11-29 21:14:50,46.4856,135.8833,10.87,92,100,1.97
285,Ghorawal,IN,2021-11-29 21:14:50,24.7667,82.7833,57.79,57,70,3.47
286,Villa Bruzual,VE,2021-11-29 21:14:51,9.3328,-69.1208,84.34,64,100,4.34
287,Fortuna,US,2021-11-29 21:14:18,40.5982,-124.1573,50.92,100,90,12.66
288,Clyde River,CA,2021-11-29 21:14:51,70.4692,-68.5914,-1.7,83,100,2.77
289,Longyan,CN,2021-11-29 21:14:51,25.1072,117.0225,55.74,96,20,4.54
290,Aksarka,RU,2021-11-29 21:14:52,66.5606,67.7975,-3.17,98,97,5.86
291,Jaen,ES,2021-11-29 21:14:52,38.0,-3.5,48.42,72,72,2.91
